row,status,division,team_name,created_users(user:pass),members_added,warnings,errors
2,OK,Escalado,Space X Terrazas,,0,Equipo lleno; miembros adicionales ignorados.,
3,OK,Master,Masters union,,0,Equipo lleno; miembros adicionales ignorados.,
4,OK,Master,Thundercats La Evolución,,0,Equipo lleno; miembros adicionales ignorados.,
5,OK,Avanzado,DCG BY AVILA,,1,Equipo lleno; miembros adicionales ignorados.,
6,OK,Novatos,Athena Team,,0,Equipo lleno; miembros adicionales ignorados.,
7,OK,Funcional,Space warriors,,0,Equipo lleno; miembros adicionales ignorados.,
8,OK,Escalado,The Coach,,3,,
9,OK,Avanzado,DCG KONG,,1,Equipo lleno; miembros adicionales ignorados.,
10,OK,Novatos,Tenesity titan,,0,Equipo lleno; miembros adicionales ignorados.,
11,OK,Novatos,Dark Team,,0,Equipo lleno; miembros adicionales ignorados.,
12,OK,Novatos,BUNKER TEAM,,0,Equipo lleno; miembros adicionales ignorados.,
13,OK,Novatos,Goldtex,,0,Equipo lleno; miembros adicionales ignorados.,
14,OK,Avanzado,SOUL,,1,Equipo lleno; miembros adicionales ignorados.,
15,OK,Novatos,IRON FORCE,,0,Equipo lleno; miembros adicionales ignorados.,
16,ERROR,Novatos,KDF,hind_assaf1:Jqm8mMnKZB,0,,UNIQUE constraint failed: accounts_profile.id_document
17,OK,Novatos,FES Legacy,,0,Equipo lleno; miembros adicionales ignorados.,
18,OK,Novatos,FES Evolution,,0,Equipo lleno; miembros adicionales ignorados.,
19,OK,Novatos,MONSTER FENIX,,0,Equipo lleno; miembros adicionales ignorados.,
20,OK,Funcional,Fitness Es Salud,,0,Equipo lleno; miembros adicionales ignorados.,
21,OK,Novatos,FES Alpha,,0,Equipo lleno; miembros adicionales ignorados.,
22,OK,Escalado,marcano,,3,,
23,OK,Novatos,Rx pa' qué?,,3,,
24,OK,Master,MASTER-MIND,,0,Equipo lleno; miembros adicionales ignorados.,
25,OK,Funcional,Team Thunderbolts,,0,Equipo lleno; miembros adicionales ignorados.,
26,OK,Avanzado,Pegasus Force,,1,Equipo lleno; miembros adicionales ignorados.,
27,OK,Master,Pegasus Black,,0,Equipo lleno; miembros adicionales ignorados.,
28,OK,Novatos,Team ABCD,,0,Equipo lleno; miembros adicionales ignorados.,
29,OK,Novatos,Cuatro+ 1,,0,Equipo lleno; miembros adicionales ignorados.,
30,OK,Novatos,TEAM NARANJO,,0,Equipo lleno; miembros adicionales ignorados.,
31,OK,Novatos,WODZILLA,,0,Equipo lleno; miembros adicionales ignorados.,
32,OK,Novatos,Olimpo Philia,,0,Equipo lleno; miembros adicionales ignorados.,
33,OK,Escalado,Power Team,,0,Equipo lleno; miembros adicionales ignorados.,
34,OK,Escalado,SPECIFIC BY DCG,,0,Equipo lleno; miembros adicionales ignorados.,
