row,status,division,team_name,created_users(user:pass),members_added,warnings,errors
2,OK,Escalado,Space X Terrazas,,0,Equipo lleno; miembros adicionales ignorados.,
3,ERROR,Master,Masters union,,0,,División 'Master' no existe en el evento 'force-games'.
4,ERROR,Master,Thundercats La Evolución,,0,,División 'Master' no existe en el evento 'force-games'.
5,OK,Avanzado,DCG BY AVILA,,1,Equipo lleno; miembros adicionales ignorados.,
6,OK,Novatos,Athena Team,,1,Equipo lleno; miembros adicionales ignorados.,
7,OK,Funcional,Space warriors,,0,Equipo lleno; miembros adicionales ignorados.,
8,OK,Escalado,The Coach,,3,,
9,OK,Avanzado,DCG KONG,,1,Equipo lleno; miembros adicionales ignorados.,
10,OK,Novatos,Tenesity titan,,1,Equipo lleno; miembros adicionales ignorados.,
11,OK,Novatos,Dark Team,,1,Equipo lleno; miembros adicionales ignorados.,
12,OK,Novatos,BUNKER TEAM,,1,Equipo lleno; miembros adicionales ignorados.,
13,OK,Novatos,Goldtex,,1,Equipo lleno; miembros adicionales ignorados.,
14,OK,Avanzado,SOUL,,1,Equipo lleno; miembros adicionales ignorados.,
15,OK,Novatos,IRON FORCE,,1,Equipo lleno; miembros adicionales ignorados.,
16,ERROR,Novatos,KDF,hind_assaf1:BTxLm4jzhC,0,,UNIQUE constraint failed: accounts_profile.id_document
17,OK,Novatos,FES Legacy,,1,Equipo lleno; miembros adicionales ignorados.,
18,OK,Novatos,FES Evolution,,1,Equipo lleno; miembros adicionales ignorados.,
19,OK,Novatos,MONSTER FENIX,,1,Equipo lleno; miembros adicionales ignorados.,
20,OK,Funcional,Fitness Es Salud,,0,Equipo lleno; miembros adicionales ignorados.,
21,OK,Novatos,FES Alpha,,1,Equipo lleno; miembros adicionales ignorados.,
22,OK,Escalado,marcano,,3,,
23,OK,Novatos,Rx pa' qué?,,3,,
24,ERROR,Master,MASTER-MIND,,0,,División 'Master' no existe en el evento 'force-games'.
25,OK,Funcional,Team Thunderbolts,,0,Equipo lleno; miembros adicionales ignorados.,
26,OK,Avanzado,Pegasus Force,,1,Equipo lleno; miembros adicionales ignorados.,
27,ERROR,Master,Pegasus Black,,0,,División 'Master' no existe en el evento 'force-games'.
28,OK,Novatos,Team ABCD,,1,Equipo lleno; miembros adicionales ignorados.,
29,OK,Novatos,Cuatro+ 1,,1,Equipo lleno; miembros adicionales ignorados.,
30,OK,Novatos,TEAM NARANJO,,1,Equipo lleno; miembros adicionales ignorados.,
31,OK,Novatos,WODZILLA,,1,Equipo lleno; miembros adicionales ignorados.,
32,OK,Novatos,Olimpo Philia,,1,Equipo lleno; miembros adicionales ignorados.,
33,OK,Escalado,Power Team,,0,Equipo lleno; miembros adicionales ignorados.,
34,OK,Escalado,SPECIFIC BY DCG,,0,Equipo lleno; miembros adicionales ignorados.,
